sentence	raw_sentence
امریکیوں کی رہائی میں تاخیر کا سبب بنے	امریکیوں کی رہائی میں تاخیر کا سبب بنے
ہاں وہ نہیں خدا پرست جاو وہ بے وفا سہی	ہاں وہ نہیں خدا پرست جاؤ وہ بے وفا سہی
نام پانامہ پیپرز میں آئیں بیرون ملک جائیدادوں کا کوئی جواز پیش نہ کر سکیں	نام پانامہ پیپرز میں آئیں، بیرون ملک جائیدادوں کا کوئی جواز پیش نہ کر سکیں۔
اس وقت باپ اور بیٹے میں بڑھتے فاصلے شاید اسی کا شاخسانہ ہیں	اس وقت باپ اور بیٹے میں بڑھتے فاصلے شاید اسی کا شاخسانہ ہیں۔
اب اس سے ربط کروں جو بہت ستمگر ہو	اب اس سے ربط کروں جو بہت ستمگر ہو
میں نے وحدت کے مفاہیم کی کثرت کر دی	میں نے وحدت کے مفاہیم کی کثرت کر دی
زخم تیغ قاتل کو طرفہ دل کشا پایا	زخم تیغ قاتل کو طرفہ دل کشا پایا
وہ ادالت ہے	وہ ادالت ہے
تم دنیا کے راستے پر جا رہے ہوں اس نے بڑے دھیمے لہجے میں پر سکون انداز میں کہا	تم دنیا کے راستے پر جا رہے ہوں اس نے بڑے دھیمے لہجے میں پر سکون انداز میں کہا۔
کہ دنیا میں فقط مردان حر کی آنکھ ہے بینا	کہ دنیا میں فقط مردان حر کی آنکھ ہے بینا
کرتی ہے چمک جن کی ستاروں کو عرق ناک	کرتی ہے چمک جن کی ستاروں کو عرق ناک
یہاں سیکڑوں کارواں اور بھی ہیں	یہاں سیکڑوں کارواں اور بھی ہیں
دل مگر اس پہ وہ دھڑکا کہ قیامت کر دی	دل مگر اس پہ وہ دھڑکا کہ قیامت کر دی
اتباع میں نہیں ان کی حاصل کنارے	اتباع میں نہیں ان کی حاصل کنارے
حسن اور اس پہ حسن ظن رہ گئی بوالہوس کی شرم	حسن اور اس پہ حسن ظن رہ گئی بوالہوس کی شرم
اس سے اندازہ کیا جا سکتا ہے کہ سیاست سے ان کی دلچسپی کا کیا عالم تھا	اس سے اندازہ کیا جا سکتا ہے کہ سیاست سے ان کی دلچسپی کا کیا عالم تھا۔
جیسے کوئی اس کے دل کو اپنی جانب اس طرح کھینچ رہا ہے	جیسے کوئی اس کے دل کو اپنی جانب اس طرح کھینچ رہا ہے
میری بندگی میرا پیار تھا	میری بندگی میرا پیار تھا
اسے پاکستان کا ثقافتی تعلیمی اور تاریخی مرکز اور پاکستان کا دل	اسے پاکستان کا ثقافتی، تعلیمی اور تاریخی مرکز اور پاکستان کا دل
ہم انجمن سمجھتے ہیں‘ خلوت ہی کیوں نہ ہو	ہم انجمن سمجھتے ہیں‘ خلوت ہی کیوں نہ ہو
آؤ نہ گھر بسائیں اسی آسماں پہ یارو	آؤ نہ گھر بسائیں اسی آسماں پہ یارو
اور درویش کی صدا کیا ہے	اور درویش کی صدا کیا ہے
نہ شب و روز ہی	نہ شب و روز ہی
اس ضمن میں عبدالستار ایدھی اور حکیم محمد سعید شہید کے نام بھی لیے جا سکتے ہیں	اس ضمن میں عبدالستار ایدھی اور حکیم محمد سعید شہید کے نام بھی لیے جا سکتے ہیں۔
جگر تشنۂ آزار تسلی نہ ہوا	جگرِ تشنۂ آزار ، تسلی نہ ہوا
خواہش دل ہے زباں کو سبب گفت و بیاں	خواہشِ دل ہے زباں کو سببِ گفت و بیاں
پلاسٹک میں غرق قوم‘ اور بچانے والا کوئی نہیں ہندوستان اور امریکہ سے خطرہ نہیں	پلاسٹک میں غرق قوم‘ اور بچانے والا کوئی نہیں ہندوستان اور امریکہ سے خطرہ نہیں۔
تو پاکستان کی نمائندگی وہاں ہونی کیا تھی	تو پاکستان کی نمائندگی وہاں ہونی کیا تھی؟
ایک حیرت انگیز آسودگی قسم ہے	ایک حیرت انگیز آسودگی قسم ہے۔
آپ سے بعد میں بات ہو گی	آپ سے بعد میں بات ہو گی۔
کتنی گندی حرکت ہے	کتنی گندی حرکت ہے
مجھے تو دور جانا ہے	مجھے تو دور جانا ہے
اس سے کیا ہماری بنیادیں کھوکھلی ہو جائیں گی	اس سے کیا ہماری بنیادیں کھوکھلی ہو جائیں گی؟
شاید اسی کو مکافات عمل کہتے ہیں	شاید اسی کو مکافات عمل کہتے ہیں۔
چھوٹی سے چھوٹی چیز کیلئے ہم بے بس اور لاچار ہیں	چھوٹی سے چھوٹی چیز کیلئے ہم بے بس اور لاچار ہیں۔
پروگرام پر عارضی پابندی کے حوالے سے	پروگرام پر عارضی پابندی کے حوالے سے
پولیس کے مسائل کو بیان کرتی فلم دال چاول ریلیز	پولیس کے مسائل کو بیان کرتی فلم دال چاول ریلیز
یہ جو ریاست مدینہ کا آئے روز دعوی کرتے ہیں	یہ جو ریاست مدینہ کا آئے روز دعوی کرتے ہیں۔
کیا اس مقبول ترین شخصیت کو پہچان سکتے ہیں	کیا اس مقبول ترین شخصیت کو پہچان سکتے ہیں
آنکھیں ’ بلیک اینڈ وائٹ ‘ ہیں تو پھر ان میں	آنکھیں ’ بلیک اینڈ وائٹ ‘ ہیں تو پھر ان میں
زمینی حقائق کی بنیاد پر نیا نظام زکو تشکیل دینے کی تجویز	زمینی حقائق کی بنیاد پر نیا نظام زکو تشکیل دینے کی تجویز
جس کے لیے برطانیہ جانا پڑا	جس کے لیے برطانیہ جانا پڑا
اور ان کے کاموں کو نمایاں انداز میں شائع کیا	اور ان کے کاموں کو نمایاں انداز میں شائع کیا
جو عام آدمی نے سوچا بھی نہیں ہو گا	جو عام آدمی نے سوچا بھی نہیں ہو گا
ہم ہلاک ہونے والوں کی تعداد بھی جانتے ہیں	ہم ہلاک ہونے والوں کی تعداد بھی جانتے ہیں۔
پتھر ہی ٹوٹ جائے وہ شیشہ تلاش کر	پتھر ہی ٹوٹ جائے وہ شیشہ تلاش کر
میں خاندانی معاملات میں لوگوں کے رویے کو دیکھتا ہوں	میں خاندانی معاملات میں لوگوں کے رویے کو دیکھتا ہوں۔
میں نے اس فلم کو بہت دلچسپ پایا	میں نے اس فلم کو بہت دلچسپ پایا
خدا کے لیے کوئی کینڈی کرش ساگا گیم کھیلنے کے لئے	خدا کے لیے کوئی کینڈی کرش ساگا گیم کھیلنے کے لئے
تو مسافروں نے بتایا بھائی یہ تیزگام ہے دینہ سے گزرے گی مگر رکے گی نہیں	تو مسافروں نے بتایا بھائی یہ تیزگام ہے ۔دینہ سے گزرے گی مگر رکے گی نہیں
چلو کوئی بات نہیں کبھی وہ دن بھی اللہ لائے گا جب ہم رمضان اور عید دونوں وہیں کریں گے جلدی آئے	چلو کوئی بات نہیں کبھی وہ دن بھی اللہ لائے گا جب ہم رمضان اور عید دونوں وہیں کریں گے جلدی آئے
یہ سیاسی اسلام‘ ہے	یہ ' سیاسی اسلام‘ ہے۔
اسٹیٹ بینک کا رواں سال عیدالفطر پر نئے کرنسی نوٹ جاری نہ کرنے کا اعلان	اسٹیٹ بینک کا رواں سال عیدالفطر پر نئے کرنسی نوٹ جاری نہ کرنے کا اعلان
کمیونزم کی اصل یہی ہے	کمیونزم کی اصل یہی ہے۔
اعلی عدلیہ جو باتیں کرتی ہے	اعلی عدلیہ جو باتیں کرتی ہے۔
صرف ایک احمق ہی اپنی اہلیہ کے ساتھ ہر معاملے پر بات نہیں کرتا وزیراعظم	صرف ایک احمق ہی اپنی اہلیہ کے ساتھ ہر معاملے پر بات نہیں کرتا وزیراعظم
ان کا صحیح لقب اب فریڈم فائٹر‘ کا ہے	ان کا صحیح لقب اب 'فریڈم فائٹر‘ کا ہے۔
میں سمجھا نہیں	میں سمجھا نہیں۔
ممبئی بھارت کا تجارتی و تفریحی مرکز ہے	ممبئی بھارت کا تجارتی و تفریحی مرکز ہے
لوگ پہلے سمجھتے تھے کہ سورج زمین کے گرد گردش کرتا ہے	لوگ پہلے سمجھتے تھے کہ سورج زمین کے گرد گردش کرتا ہے۔
اس سوچ میں تبدیلی کی ضرورت ہے	اس سوچ میں تبدیلی کی ضرورت ہے۔
کھانا پکایا جا رہا ہے	کھانا پکایا جا رہا ہے
آزادی کی تحریکیں چلتی رہیں	آزادی کی تحریکیں چلتی رہیں
افتتاحی ون ڈے میں سنچری ناقابل فراموش لمحہ تھاعابدعلی	افتتاحی ون ڈے میں سنچری ناقابل فراموش لمحہ تھاعابدعلی
کیا امریکہ مخالف جذبات کو بھڑکانے سے مسائل حل ہوں	کیا امریکہ مخالف جذبات کو بھڑکانے سے مسائل حل ہوں۔
اسٹاک مارکیٹ میں مندی کا رجحان جاری	اسٹاک مارکیٹ میں مندی کا رجحان جاری
بھیا آپ ہمیں اس دوسری سڑک کے ذریعے کیوں لے جا رہے ہو	بھیا، آپ ہمیں اس دوسری سڑک کے ذریعے کیوں لے جا رہے ہو؟
وہ بیس کروڑ روپے کا مطالبہ کر رہا تھا	وہ بیس کروڑ روپے کا مطالبہ کر رہا تھا
پاکستانی بلے باز سوئنگ ہوتی گیندیں نہیں کھیل سکتے شعیب اختر	پاکستانی بلے باز سوئنگ ہوتی گیندیں نہیں کھیل سکتے شعیب اختر
اس بارے میں پی ٹی ائی کی لیڈرشپ کو بتا دیا ہے	اس بارے میں پی ٹی آئی کی لیڈرشپ کو بتا دیا ہے
میرا بھائی چھٹیوں پہ گھر آ رہا ہے	میرا بھائی چھٹیوں پہ گھر آ رہا ہے
ہم آپ کو بتا رہے ہیں	ہم آپ کو بتا رہے ہیں
عمران خان کو لمبی زندگی عطا فرما اس ملک کیلئے	عمران خان کو لمبی زندگی عطا فرما اس ملک کیلئے
معاملہ اور ہے اور کسی ایک ذات کا نہیں	معاملہ اور ہے اور کسی ایک ذات کا نہیں۔
اسے تو بات تک کرنے کی تمیز نہیں ہے	اسے تو بات تک کرنے کی تمیز نہیں ہے
انیل بسواس نے بھی بہت اعلی میوزک ترتیب دی ہے	انیل بسواس نے بھی بہت اعلی میوزک ترتیب دی ہے۔
میکرو مائکرو بلاگنگ کیا ہے	میکرو مائکرو بلاگنگ کیا ہے
ارطغرل غازی کے عبدالرحمن نے پاکستانی بچوں کو بہادر سپاہی قرار دے دیا	ارطغرل غازی کے عبدالرحمن نے پاکستانی بچوں کو بہادر سپاہی قرار دے دیا
یاسر حسین نے پاکستانی سیاستدانوں کو اداکارہ قرار دے دیا	یاسر حسین نے پاکستانی سیاستدانوں کو اداکارہ قرار دے دیا
سشانت سنگھ کے والد نے بیٹے کی گرل فرینڈ کےخلاف مقدمہ کردیا	سشانت سنگھ کے والد نے بیٹے کی گرل فرینڈ کےخلاف مقدمہ کردیا
مجھے ہر حال میں اپنے رب کا شکر ادا کرنا چاہیے	مجھے ہر حال میں اپنے رب کا شکر ادا کرنا چاہیے
سمندر بعض اوقات بے قابو ہوکر	سمندر بعض اوقات بے قابو ہوکر
سندھ میں ملز مالکان نے اٹے کی فی کلو قیمت میں روپے کی کمی کردی	سندھ میں ملز مالکان نے اٹے کی فی کلو قیمت میں روپے کی کمی کردی
پاکستانی نژاد نے دولت میں ڈونلڈ ٹرمپ کو پیچھے چھوڑ دیا	پاکستانی نژاد نے دولت میں ڈونلڈ ٹرمپ کو پیچھے چھوڑ دیا
سگریٹ کی پیداوار میں نمایاں اضافہ	سگریٹ کی پیداوار میں نمایاں اضافہ
اصل بات تو یہ ہے کہ ایک خاص قسم کی ریاست ہم بناتے گئے	اصل بات تو یہ ہے کہ ایک خاص قسم کی ریاست ہم بناتے گئے۔
بھٹو صاحب پر نواب محمد احمد خان کے قتل کا مقدمہ تھا	بھٹو صاحب پر نواب محمد احمد خان کے قتل کا مقدمہ تھا۔
اس کے خیالات کو سمجھنا آسان نہیں ہے	اس کے خیالات کو سمجھنا آسان نہیں ہے
پروگرام نو بجے ختم ہوتا ہے	پروگرام نو بجے ختم ہوتا ہے۔
ٹام اور مریم نے اپنے آپ کو خود قتل کیا	ٹام اور مریم نے اپنے آپ کو خود قتل کیا
ہر جگہ ان کی زلت کا سامان ہو	ہر جگہ ان کی زلت کا سامان ہو
پیمرا کو کھلی چھوٹ نہیں ہونی چاہیے فلم ساز مہرین جبار	پیمرا کو کھلی چھوٹ نہیں ہونی چاہیے فلم ساز مہرین جبار
مسجد سے اب موذن کی نہیں لاوڈ سپیکر کی آواز آتی ہے	مسجد سے اب موذن کی نہیں، لاؤڈ سپیکر کی آواز آتی ہے۔
بلکہ اس کا مظہر ہوں	بلکہ اس کا مظہر ہوں۔
پھر کسی نے نائب کلب جانا ہو تو ادھر کا رخ کرتا ہے	پھر کسی نے نائب کلب جانا ہو تو ادھر کا رخ کرتا ہے۔
وہ دیکھو مجہے دوبارہ اتنی دیر ہو گئی ہے ماں آپ نے مجھے جلدی کیوں نہیں اٹھایا	وه دیکھو. مجهے دوباره اتنی دیر ہو گئی ہے! ماں، آپ نے مجھے جلدی کیوں نہیں اٹھایا!
اس کے اکیاسی سالوں کے دادا جی کو اس پر فخر ہے	اُس کے اِکیاسی سالوں کے دادا جی کو اُس پر فخر ہے
فلاں شخص کا فلاں عقیدہ کفر ہے	فلاں شخص کا فلاں عقیدہ کفر ہے
والدہ کی وفات کے سال بعد صنم سعید کا اپنے جذبات کا اظہار	والدہ کی وفات کے سال بعد صنم سعید کا اپنے جذبات کا اظہار
لبنان کا تقریبا تمام علاقہ ساحل سمندر سے بہت قریب ہے	لبنان کا تقریباً تمام علاقہ ساحل سمندر سے بہت قریب ہے
یہ خبر نہیں ہے	یہ خبر نہیں ہے
ہمیں بھی اس کا بہت نقصان ہے	ہمیں بھی اس کا بہت نقصان ہے۔
صبح کے دس رات کے ساڑھے سات بجے ہیں	صبح کے دَس ۔ رات کے ساڑھے سات بَجے ہیں
جو ڈرتے ہیں	جو ڈرتے ہیں
گھر والوں کو میری شادی کی کوئی فکر نہیں	گھر والوں کو میری شادی کی کوئی فکر نہیں
ان جیسا کوئی اور نہیں آ سکتا	ان جیسا کوئی اور نہیں آ سکتا۔
تعلیم کا معاملہ بھی یہی ہے	تعلیم کا معاملہ بھی یہی ہے۔
وقت سے پہلے اندھیرے میں نہ جاو چپ رہو	وقت سے پہلے اندھیرے میں نہ جاو ، چُپ رہو
کفیلوں کے خلاف بھی کارروائی کی جائے	کفیلوں کے خلاف بھی کارروائی کی جائے
اور اگر ویت نام ماضی کی بات ہے عراق ہمارے سامنے کی مثال ہے	اور اگر ویت نام ماضی کی بات ہے، عراق ہمارے سامنے کی مثال ہے۔
سوات کو پاکستان کا سوئٹزرلینڈ کہا جاتا ہے	سوات کو پاکستان کا سوئٹزرلینڈ کہا جاتا ہے
اکبر ہندوستان کی تاریخ کا سب سے کامیاب حکمران تھا	اکبر ہندوستان کی تاریخ کا سب سے کامیاب حکمران تھا۔
پاکستان کی جاپان کو ریلوے میں شراکت داری کی پیشکش	پاکستان کی جاپان کو ریلوے میں شراکت داری کی پیشکش
لوگ مذہبی طبقے کے لئے نرم گوشہ رکھتے تھے	لوگ مذہبی طبقے کے لئے نرم گوشہ رکھتے تھے
میٹرو بس اور اورنج لائن ٹرینیں سامنے کی باتیں ہیں	میٹرو بس اور اورنج لائن ٹرینیں سامنے کی باتیں ہیں۔
یار اس کی جگہ تو بناتے	یار اس کی جگہ تو بناتے
یہ ایک طویل کارروائی ہے	یہ ایک طویل کارروائی ہے۔
معروف شیف زبیدہ طارق انتقال کر گئیں	معروف شیف زبیدہ طارق انتقال کر گئیں
اور گوگل پلے سٹور سے ڈاؤن لوڈ کیا جا سکتا ہے	اور گوگل پلے سٹور سے ڈاؤن لوڈ کیا جا سکتا ہے
گی کہ ساری امریکی کہانی از بر ہو جائے	گی کہ ساری امریکی کہانی از بر ہو جائے۔
ملتان پاکستان کے صوبہ پنجاب کا ایک اہم شہر ہے	ملتان پاکستان کے صوبہ پنجاب کا ایک اہم شہر ہے
ار کے اسٹوڈیوز کی فروخت پر کپور خاندان افسردہ	ار کے اسٹوڈیوز کی فروخت پر کپور خاندان افسردہ
صدقہ دینے سے دل کی سکونیت ملتی ہے	صدقہ دینے سے دل کی سکونیت ملتی ہے۔
جیسا کہ ہم اکثر کہتے ہیں یہ بھی جمہوریت کا حسن ہے	جیسا کہ ہم اکثر کہتے ہیں، یہ بھی جمہوریت کا حسن ہے۔
یہ تمہارا مسئلہ نہیں ہے	یہ تُمہارا مسئلہ نہیں ہے۔
رونا یہی ہے کہ وہ زمانہ گیا	رونا یہی ہے کہ وہ زمانہ گیا۔
بکنگ کا یہ کام عمران اور افضال کے ذمے تھے	بکنگ کا یہ کام عمران اور افضال کے ذمے تھے
میں جانتا ہوں کہ غلط ہے	میں جانتا ہوں کہ غلط ہے۔
اس کا ایک جواب تو قانونی ہے	اس کا ایک جواب تو قانونی ہے۔
اسلام کے قانون آزمائش کی اساس ہی حریت فکر و عمل ہے	اسلام کے قانون آزمائش کی اساس ہی حریت فکر و عمل ہے۔
وہ آستاں نہ چھٹا تجھ سے ایک دم کے لیے	وہ آستاں نہ چھٹا تجھ سے ایک دم کے لیے
مسجد میں ویڈیو بنانے کا معاملہ عدالت نے صبا قمر اور بلال سعید کی ضمانت کی توثیق کردی	مسجد میں ویڈیو بنانے کا معاملہ عدالت نے صبا قمر اور بلال سعید کی ضمانت کی توثیق کردی
یہ لڑکا میری ایک بات بھی نہیں سنتا	یہ لڑکا میری ایک بات بھی نہیں سنتا
ٹیم نے ابتدائی میچوں میں اچھی کارکردگی نہ دکھانے کے باوجود ہمت نہیں ہاری تھی	ٹیم نے ابتدائی میچوں میں اچھی کارکردگی نہ دکھانے کے باوجود ہمت نہیں ہاری تھی
ہوں منحرف نہ کیوں‘ رہ و رسم ثواب سے	ہوں منحرف نہ کیوں‘ رہ و رسمِ ثواب سے!
عامر لیاقت نامناسب تصویر پوسٹ کرنے پر تنازع کی زد میں	عامر لیاقت نامناسب تصویر پوسٹ کرنے پر تنازع کی زد میں
لیکن ہم اس پر حیران کیوں ہیں	لیکن ہم اس پر حیران کیوں ہیں؟
پرانے زمانے میں لوگ مٹی کے برتن استعمال کرتے تھے	پرانے زمانے میں لوگ مٹی کے برتن استعمال کرتے تھے
آپ کو لگتا ہے کہ آپ مجھ سے بہتر ہیں	آپ کو لگتا ہے کہ آپ مجھ سے بہتر ہیں۔
ثقلین مشتاق انگلینڈ کرکٹ ٹیم کے اسپن بالنگ کوچ مقرر	ثقلین مشتاق انگلینڈ کرکٹ ٹیم کے اسپن بالنگ کوچ مقرر
اسلامک نیٹو خیال تو اچھا ہے	اسلامک نیٹو: خیال تو اچھا ہے۔
ڈیزائنر ایچ ایس وائے اداکاری کے لیے تیار	ڈیزائنر ایچ ایس وائے اداکاری کے لیے تیار
ظفر اقبال نے جس حسن کو قامت لکھا	ظفر اقبال نے جس حُسن کو قامت لکھا
جہاز دس منٹ میں اڑ جائے گا	جہاز دس منٹ میں اڑ جائے گا۔
اوریہ سارا تماشہ دیکھ رہے تھے	اوریہ سارا تماشہ دیکھ رہے تھے۔
اس لیے لوگوں کا سیاست سے اعتبار اٹھ گیا	اس لیے لوگوں کا سیاست سے اعتبار اٹھ گیا۔
میرا اور حسنین لہری کا بریک اپ ہوچکا ہے	میرا اور حسنین لہری کا بریک اپ ہوچکا ہے
کیا سپریم کورٹ کہیں باہر سے درآمد ہوئی ہے	کیا سپریم کورٹ کہیں باہر سے درآمد ہوئی ہے؟
جبکہ آج کے میڈیا کا ہتھیا ر بھی یہی قوت ہے	جبکہ آج کے میڈیا کا ہتھیا ر بھی یہی قوت ہے
گوادر بندرگاہ سے متعلق غیر معمولی خیالات مسترد	گوادر بندرگاہ سے متعلق غیر معمولی خیالات مسترد
سنچورین ٹیسٹ جنوبی افریقی ٹیم میں کک شامل	سنچورین ٹیسٹ جنوبی افریقی ٹیم میں کک شامل
تو اس کو سامنے آنا چاہیے	تو اس کو سامنے آنا چاہیے۔
خادم اعلی کو بہت سارے معاملات کا سامنا ہے	خادم اعلی کو بہت سارے معاملات کا سامنا ہے۔
کمہار دوڈ لگا دیتا ہے اور کہتا ہے	کمہار دوڈ لگا دیتا ہے اور کہتا ہے
ایجنسیوں میں ہمارے سیانے کبھی سبق نہیں سیکھتے	ایجنسیوں میں ہمارے سیانے کبھی سبق نہیں سیکھتے۔
میری الجھن بھی یہی ہے	میری الجھن بھی یہی ہے۔
ایسے منظر کبھی شہروں میں تو پائے نہ گئے	ایسے منظر کبھی شہروں میں تو پائے نہ گئے
انڈیا کی ثقا فت کی پاکستان پر یلغار سب کے سامنے ہے	انڈیا کی ثقا فت کی پاکستان پر یلغار سب کے سامنے ہے
یہ کام رجال کار کا محتاج ہے	یہ کام رجال کار کا محتاج ہے۔
پریانکا چوپڑا کا امریکی شو کوائنٹیکو منسوخ	پریانکا چوپڑا کا امریکی شو کوائنٹیکو منسوخ
سرحدیں یمن سے ملتی ہیں	سرحدیں یمن سے ملتی ہیں
اس کی بیوی نے مجبوری میں کام کرنا شروع کیا ہے	اس کی بیوی نے مجبوری میں کام کرنا شروع کیا ہے۔
اپنے نام بتاؤ	أپنے نام بتاؤ۔
وہ نقطہ نظر کہاں ہے	وہ نقطہ نظر کہاں ہے؟
دم خوری کے گرد گھومنے والی فلم درج کو نمائش کی اجازت مل گئی	دم خوری کے گرد گھومنے والی فلم درج کو نمائش کی اجازت مل گئی
دریا زمین کو عرق انفعال ھے	دریا زمین کو عرق انفعال ھے
حرکت نہ کرو	حرکت نہ کرو
تو پرندے اڑنے لگتے ہیں	تو پرندے اڑنے لگتے ہیں۔
اورہر ایک کے پاس گرامو فون نہیں ہوتاتھا	اورہر ایک کے پاس گرامو فون نہیں ہوتاتھا۔
سیالکوٹ کو حکومتی سرپرستی و سہولیات ملنی چاہیے	سیالکوٹ کو حکومتی سرپرستی و سہولیات ملنی چاہیے
مشکلات اور مصیبتوں کو دیکھ کر اس کے قدم متزلزل نہیں ہوتے	مشکلات اور مصیبتوں کو دیکھ کر اس کے قدم متزلزل نہیں ہوتے
گزارش ہے کہ اس میں چیف منسٹر صاحب غلطی پہ ہیں	گزارش ہے کہ اس میں چیف منسٹر صاحب غلطی پہ ہیں۔
میں نے کتاب پڑھی ہے	میں نے کتاب پڑھی ہے۔
میرا خیال یہ ہے کہ دہشت گردی کے ساتھ بقا ناممکن ہے	میرا خیال یہ ہے کہ دہشت گردی کے ساتھ بقا ناممکن ہے۔
اب جذبات اور تاثرات حاکم ہیں	اب جذبات اور تاثرات حاکم ہیں۔
میری شکایتیں کرنے والی	میری شکایتیں کرنے والی
لال مسجد سے لے کر اب تک ہم نے یہی دیکھا	لال مسجد سے لے کر اب تک ہم نے یہی دیکھا۔
بھارت میں سلمان اور کترینہ کا رومانوی انداز سامنے اگیا	بھارت میں سلمان اور کترینہ کا رومانوی انداز سامنے اگیا
ذہنی طور پہ ہم ایک پیچھے رہنے والی قوم ہیں	ذہنی طور پہ ہم ایک پیچھے رہنے والی قوم ہیں۔
کہیں اگر مدعا واضح نہ ہو تو نشان دہی کی جا سکتی ہے	کہیں اگر مدعا واضح نہ ہو تو نشان دہی کی جا سکتی ہے۔
تو ذمہ دار کوئی ایک کیوں	تو ذمہ دار کوئی ایک کیوں؟
یہی معاملہ سیاست کا بھی ہے	یہی معاملہ سیاست کا بھی ہے۔
اسی پہ اکتفا کرنا چاہیے	اسی پہ اکتفا کرنا چاہیے۔
یا بندہ صحرائی یا مرد کہستانی	يا بندہ صحرائي يا مرد کہستاني
یقینا یوں ہو سکتا ہے	یقینا یوں ہو سکتا ہے
سادہ سوال یہ ہے کہ تحریک انصاف کے پاس ان کاحل کیاہے	سادہ سوال یہ ہے کہ تحریک انصاف کے پاس، ان کاحل کیاہے؟
اس کے خالق حسین حقانی تھے	اس کے خالق حسین حقانی تھے۔
ان کی گفتگو میں آئندہ کے لائحہ عمل کی کچھ جھلک نظر آنی چاہیے	ان کی گفتگو میں آئندہ کے لائحہ عمل کی کچھ جھلک نظر آنی چاہیے۔
اس کے تباہ کن نتائج کی وجہ سے	اس کے تباہ کن نتائج کی وجہ سے
کروڑ استعمال کنندگان کو خدمات کی فراہمی	کروڑ استعمال کنندگان کو خدمات کی فراہمی
یہی دلیل پیپلزپارٹی اور ن لیگ بھی استعمال کر تی ہیں	یہی دلیل پیپلزپارٹی اور ن لیگ بھی استعمال کر تی ہیں۔
ستمبر میں بھی مہنگائی بڑھ کر فیصد تک پہنچ گئی	ستمبر میں بھی مہنگائی بڑھ کر فیصد تک پہنچ گئی
جے زی دنیا کے پہلے ارب پتی ریپر	جے زی دنیا کے پہلے ارب پتی ریپر
کوئی چیز خطرے میں نہیں	کوئی چیز خطرے میں نہیں۔
اکثر میں ایسا نہیں کرتا لیکن اگر حالات ہنگامی ہوں تو میں اس طرح کا خطرہ مول لیتا ہوں	اکثر میں ایسا نہیں کرتا۔ لیکن اگر حالات ہنگامی ہوں تو میں اس طرح کا خطرہ مول لیتا ہوں۔
ان میں سے ایک یہ قانون ہے	ان میں سے ایک یہ قانون ہے۔
پیدل تو صرف دس منٹ کا راستہ ہے	پیدل تو صرف دس منٹ کا راستہ ہے
نہ تھا کچھ تو خدا تھا نہ ہوتا کچھ تو خدا ہوتا	نہ تھا کچھ تو خدا تھا نہ ہوتا کچھ تو خدا ہوتا
اور انھیں اپنا علاج خود کرنا پڑتا ہے	اور انھیں اپنا علاج خود کرنا پڑتا ہے
اسی طرح یہ بھی معلوم تھا کہ تحریک انصاف اسی وقت انتخابی نتائج کو قبول کرے گی	اسی طرح یہ بھی معلوم تھا کہ تحریک انصاف اسی وقت انتخابی نتائج کو قبول کرے گی۔
جو زخم دل میں ہیں سبھی تن پر سجا کے لا	جو زخم دل میں ہیں سبھی تن پر سجا کے لا
بازار کی مٹھائی	بازار کی مٹھائی
بوڑھی گھوڑی لال لگام	بوڑھی گھوڑی لال لگام
موبائل صارفین کو ریلیف دینے کیلئے ایف بی ار کا ٹیکسز میں کمی کا فیصلہ	موبائل صارفین کو ریلیف دینے کیلئے ایف بی ار کا ٹیکسز میں کمی کا فیصلہ
سیکس سے انکار پر ماڈل کا قتل کیے جانے کا انکشاف	سیکس سے انکار پر ماڈل کا قتل کیے جانے کا انکشاف
میگھن مارکل کو شہزادے سے محبت کی قیمت چکانی پڑی	میگھن مارکل کو شہزادے سے محبت کی قیمت چکانی پڑی
سشانت سنگھ کی خودکشی کیس میں نیا موڑ خفیہ ایجنسی سے تفتیش کرانے کا اعلان	سشانت سنگھ کی خودکشی کیس میں نیا موڑ خفیہ ایجنسی سے تفتیش کرانے کا اعلان
ٹیلر سوئفٹ کا ساتواں میوزک ایلبم ریلیز	ٹیلر سوئفٹ کا ساتواں میوزک ایلبم ریلیز
الجھنیں تو جا بجا ہم بوسیدہ ڈگر پے چل رہے تھے	الجھنیں تو جا بجا ہم بوسیدہ ڈگر پے چل رہے تھے
اور میں لولا لنگڑا تھا	اور میں لولا لنگڑا تھا
کہ شاہیں بناتا نہیں آشیانہ	کہ شاہیں بناتا نہیں آشیانہ
لیکن پوری قوم اب جان گئی ہے کہ ایسا کچھ نہیں ہوا	لیکن پوری قوم اب جان گئی ہے کہ ایسا کچھ نہیں ہوا۔
میں اس واقعے کو تفصیل سے سمجھاتی ہوں	میں اس واقعے کو تفصیل سے سمجھاتی ہوں
ہاں وہی غالب والی یا اس کے ساتھ والی	ہاں وہی غالب والی یا اس کے ساتھ والی
یہ ڈرامے ایک بار میں بھی ختم ہوتے ہیں	یہ ڈرامے ایک بار میں بھی ختم ہوتے ہیں
میری آنکھوں میں جو خون اترا ہے	میری آنکھوں میں جو خون اترا ہے
دیکھتے ہیں وہ اپنے دعوی کو کس حد تک پورا کرتی ہیں	دیکھتے ہیں وہ اپنے دعویٰ کو کس حد تک پورا کرتی ہیں
